Crime_ID	Crime_Type	Crime_Severity	Datetime	Address	Neighborhood	City	State	Postal_Code	Latitude	Longitude	Police_Beat	Victim_Age	Victim_Gender	Ethnicity	Offender_Age	Offender_Gender	Ethnicity	Relationship	Weapon_Used	Location_Type	Reported_To_Police	Case_Status	Arrest_Made	Domestic_Case	Gang_Related
32	Animal Cruelty	medium	25.03.2024 22:45	121 Maple St	Downtown	Metropolis	NY	10021	40.7130	-74.0062	1				35	Male	Asian	Acquaintance	None	Home	Yes	Closed	Yes	No	Yes
33	Illegal Gambling	low	08.04.2024 6:58	122 Oak Ave	West Side	Metropolis	NY	10022	40.7152	-74.0152	2	26	Female	Black	28	Female	Black	Domestic Partner	Blunt Object	Business	Yes	Arrested	No	Yes	No
34	Counterfeiting	medium	19.05.2024 18:30	123 Pine Rd	East End	Metropolis	NY	10023	40.7202	-74.0007	3	39	Male	White	42	Male	White	Stranger	None	Park	No	Open	Yes	No	No
35	Smuggling	high	02.06.2024 11:15	124 Cedar Blvd	Uptown	Metropolis	NY	10024	40.7257	-74.0122	4	30	Female	Hispanic	31	Male	Hispanic	Stranger	Knife	Street	Yes	Closed	No	No	Yes
36	Prostitution	low	14.07.2024 23:50	125 Birch Ln	Southside	Metropolis	NY	10025	40.7302	-74.0087	5				27	Male	Black	Acquaintance	Knife	Home	Yes	Open	Yes	No	No
37	Blackmail	high	28.08.2024 7:40	126 Spruce St	Midtown	Metropolis	NY	10026	40.7352	-74.0022	6	27	Female	Asian	29	Male	Asian	Domestic Partner	None	Business	Yes	Arrested	Yes	Yes	Yes
38	Kidnapping for Ransom	medium	11.10.2024 16:05	127 Elm Ave	Riverside	Metropolis	NY	10027	40.7407	-74.0107	7	36	Male	White	40	Male	Black	Stranger	Gun	Street	No	Open	Yes	Yes	No
39	Cyberbullying	low	30.12.2024 20:22	128 Willow Rd	Old Town	Metropolis	NY	10028	40.7452	-74.0052	8	23	Female	Hispanic	25	Female	Hispanic	Stranger	None	Park	Yes	Closed	Yes	No	No
40	Child Abuse	medium	12.01.2024 8:42	129 Chestnut Blvd	Harborview	Metropolis	NY	10029	40.7502	-74.0077	9				44	Male	Black	Acquaintance	Blunt Object	Home	Yes	Arrested	No	No	Yes
41	Theft	low	03.03.2024 21:17	130 Aspen Ln	Greenfield	Metropolis	NY	10030	40.7552	-74.0032	10				30	Male	White	Stranger	None	Street	Yes	Open	Yes	No	No
42	Burglary	medium	27.05.2024 14:05	131 Maple St	Downtown	Metropolis	NY	10031	40.7131	-74.0063	1	32	Male	Asian	35	Male	Asian	Acquaintance	Knife	Home	Yes	Closed	No	Yes	No
43	Robbery	high	15.07.2024 2:33	132 Oak Ave	West Side	Metropolis	NY	10032	40.7153	-74.0153	2	25	Female	Black	27	Male	Black	Domestic Partner	Gun	Business	Yes	Arrested	Yes	No	Yes
44	Assault	low	09.09.2024 19:48	133 Pine Rd	East End	Metropolis	NY	10033	40.7203	-74.0008	3	38	Male	White	41	Male	White	Stranger	None	Park	No	Open	No	No	No
45	Aggravated Assault	high	21.10.2024 11:12	134 Cedar Blvd	Uptown	Metropolis	NY	10034	40.7258	-74.0123	4				31	Male	Hispanic	Stranger	Blunt Object	Street	Yes	Closed	Yes	No	Yes
46	Homicide	medium	30.06.2024 23:55	135 Birch Ln	Southside	Metropolis	NY	10035	40.7303	-74.0088	5	22	Male	Black	24	Male	Black	Acquaintance	Knife	Home	Yes	Open	Yes	Yes	No
47	Manslaughter	low	08.04.2024 16:28	136 Spruce St	Midtown	Metropolis	NY	10036	40.7353	-74.0023	6	27	Female	White	30	Male	White	Domestic Partner	None	Business	Yes	Arrested	Yes	Yes	No
48	Kidnapping	medium	17.11.2024 5:03	137 Elm Ave	Riverside	Metropolis	NY	10037	40.7408	-74.0108	7	35	Male	Asian	38	Male	Asian	Stranger	Gun	Street	No	Open	Yes	No	Yes
49	Arson	low	25.12.2024 13:47	138 Willow Rd	Old Town	Metropolis	NY	10038	40.7453	-74.0053	8				33	Male	Black	Stranger	None	Park	Yes	Closed	No	No	No
50	Vandalism	medium	05.01.2024 14:23	139 Chestnut Blvd	Harborview	Metropolis	NY	10039	40.7503	-74.0078	9				28	Male	White	Acquaintance	Blunt Object	Home	Yes	Arrested	Yes	No	No
51	Fraud	high	17.02.2024 9:15	140 Aspen Ln	Greenfield	Metropolis	NY	10040	40.7553	-74.0033	10	23	Female	Hispanic	25	Female	Hispanic	Domestic Partner	None	Street	Yes	Open	No	Yes	Yes
52	Embezzlement	low	23.03.2024 21:42	141 Maple St	Downtown	Metropolis	NY	10041	40.7132	-74.0064	1	40	Male	Black	42	Male	Black	Stranger	Knife	Home	Yes	Closed	Yes	No	No
53	Drug Possession	high	01.04.2024 6:50	142 Oak Ave	West Side	Metropolis	NY	10042	40.7154	-74.0154	2	29	Female	White	31	Male	White	Stranger	Gun	Business	Yes	Arrested	No	No	Yes
54	Drug Trafficking	medium	15.05.2024 18:33	143 Pine Rd	East End	Metropolis	NY	10043	40.7204	-74.0009	3	34	Male	Asian	37	Male	Asian	Acquaintance	None	Park	No	Open	Yes	No	No
55	Domestic Violence	low	28.05.2024 3:21	144 Cedar Blvd	Uptown	Metropolis	NY	10044	40.7259	-74.0124	4	28	Female	Black	30	Male	Black	Domestic Partner	Blunt Object	Street	Yes	Closed	Yes	Yes	No
56	Sexual Assault	medium	11.06.2024 12:11	145 Birch Ln	Southside	Metropolis	NY	10045	40.7304	-74.0089	5				25	Male	White	Stranger	Knife	Home	Yes	Open	Yes	Yes	Yes
57	Rape	low	19.06.2024 23:08	146 Spruce St	Midtown	Metropolis	NY	10046	40.7354	-74.0024	6				40	Male	Hispanic	Stranger	None	Business	Yes	Arrested	Yes	No	No
58	Human Trafficking	medium	02.07.2024 7:44	147 Elm Ave	Riverside	Metropolis	NY	10047	40.7409	-74.0109	7				33	Male	Black	Acquaintance	Gun	Street	No	Open	No	No	No
59	Stalking	high	30.07.2024 16:55	148 Willow Rd	Old Town	Metropolis	NY	10048	40.7454	-74.0054	8	25	Female	White	27	Male	White	Domestic Partner	None	Park	Yes	Closed	Yes	No	Yes
60	Cybercrime	low	08.08.2024 10:27	149 Chestnut Blvd	Harborview	Metropolis	NY	10049	40.7504	-74.0079	9	36	Male	Asian	38	Male	Asian	Stranger	Knife	Home	Yes	Arrested	No	Yes	No
61	Identity Theft	high	21.08.2024 22:13	150 Aspen Ln	Greenfield	Metropolis	NY	10050	40.7554	-74.0034	10	31	Female	Black	33	Male	Black	Stranger	Gun	Street	Yes	Open	Yes	No	Yes
62	Bribery	medium	04.09.2024 5:37	145 Birch Ln	Southside	Metropolis	NY	10045	40.7304	-74.0089	5	27	Male	White	30	Male	White	Acquaintance	None	Home	Yes	Closed	No	No	No
63	Extortion	low	14.09.2024 14:49	201 Oak St	Central	Gotham	NJ	7001	40.7350	-74.1724	11				26	Female	Hispanic	Domestic Partner	Blunt Object	Business	Yes	Arrested	Yes	No	No
64	Public Intoxication	medium	25.09.2024 19:31	202 Maple Ave	Riverside	Gotham	NJ	7002	40.7380	-74.1700	12				45	Male	Black	Stranger	Knife	Park	No	Open	Yes	Yes	Yes
65	Disorderly Conduct	low	03.10.2024 1:22	203 Pine Rd	Uptown	Gotham	NJ	7003	40.7405	-74.1685	13	29	Female	White	32	Male	White	Stranger	None	Street	Yes	Closed	Yes	Yes	No
66	Trespassing	medium	12.10.2024 13:55	204 Cedar Blvd	East End	Gotham	NJ	7004	40.7428	-74.1660	14	33	Male	Asian	36	Male	Asian	Acquaintance	Gun	Home	Yes	Open	Yes	No	No
67	Weapons Violation	high	27.10.2024 20:44	205 Birch Ln	West Side	Gotham	NJ	7005	40.7450	-74.1642	15	28	Female	Black	31	Male	Black	Domestic Partner	None	Business	Yes	Arrested	No	No	Yes
68	Hate Crime	low	06.11.2024 9:12	206 Spruce St	Downtown	Gotham	NJ	7006	40.7475	-74.1620	16	23	Male	White	26	Male	White	Stranger	Blunt Object	Street	No	Open	Yes	No	No
69	Gang-Related Crime	high	18.11.2024 23:58	207 Elm Ave	Harborview	Gotham	NJ	7007	40.7500	-74.1600	17				40	Male	Hispanic	Stranger	None	Park	Yes	Closed	No	Yes	Yes
70	Traffic Violations	medium	29.11.2024 7:46	208 Willow Rd	Greenfield	Gotham	NJ	7008	40.7525	-74.1580	18	30	Male	Black	33	Male	Black	Acquaintance	Knife	Home	Yes	Arrested	Yes	No	No
71	DUI / DWI	low	09.12.2024 15:29	209 Chestnut Blvd	Old Town	Gotham	NJ	7009	40.7550	-74.1560	19	25	Female	White	28	Male	White	Domestic Partner	Knife	Street	Yes	Open	No	No	No
72	Animal Cruelty	medium	22.12.2024 21:18	210 Aspen Ln	Midtown	Gotham	NJ	7010	40.7575	-74.1540	20				39	Male	Asian	Stranger	None	Home	Yes	Closed	Yes	No	Yes
73	Illegal Gambling	low	31.12.2024 3:03	211 Maple St	Central	Star City	CA	90001	34.0522	-118.2437	21	32	Female	Black	34	Male	Black	Stranger	Gun	Business	Yes	Arrested	Yes	Yes	No
74	Counterfeiting	medium	13.01.2024 18:42	212 Oak Ave	Riverside	Star City	CA	90002	34.0550	-118.2400	22	26	Male	White	29	Male	White	Acquaintance	None	Park	No	Open	Yes	Yes	No
75	Smuggling	high	26.01.2024 12:33	213 Pine Rd	Uptown	Star City	CA	90003	34.0575	-118.2380	23	25	Female	White	27	Male	White	Stranger	Blunt Object	Street	Yes	Closed	Yes	No	Yes
76	Prostitution	low	07.02.2024 8:44	214 Cedar Blvd	East End	Star City	CA	90004	34.0600	-118.2350	24				27	Male	White	Stranger	None	Home	Yes	Open	No	No	No
77	Blackmail	high	20.02.2024 19:55	215 Birch Ln	West Side	Star City	CA	90005	34.0625	-118.2320	25	34	Male	Black	31	Male	Black	Acquaintance	Knife	Business	Yes	Arrested	Yes	No	Yes
78	Kidnapping for Ransom	medium	04.03.2024 5:21	216 Spruce St	Downtown	Star City	CA	90006	34.0650	-118.2300	26	19	Female	Hispanic	22	Male	Hispanic	Domestic Partner	Gun	Street	No	Open	No	Yes	No
79	Cyberbullying	low	15.03.2024 11:39	217 Elm Ave	Harborview	Star City	CA	90007	34.0675	-118.2270	27				24	Female	White	Stranger	None	Park	Yes	Closed	Yes	No	No
80	Child Abuse	medium	28.03.2024 22:50	218 Willow Rd	Greenfield	Star City	CA	90008	34.0700	-118.2250	28				22	Female	White	Acquaintance	Blunt Object	Home	Yes	Arrested	No	No	Yes
81	Theft	low	09.04.2024 6:17	219 Chestnut Blvd	Old Town	Star City	CA	90009	34.0725	-118.2220	29	42	Male	Asian	40	Male	Asian	Stranger	Knife	Street	Yes	Open	Yes	No	No
82	Burglary	medium	23.04.2024 16:25	220 Aspen Ln	Midtown	Star City	CA	90010	34.0750	-118.2200	30				22	Male	Black	Stranger	None	Home	Yes	Closed	Yes	Yes	No
83	Robbery	high	05.05.2024 1:11	221 Maple St	Central	Central City	TX	75001	32.7767	-96.7970	31				24	Male	Hispanic	Acquaintance	Gun	Business	Yes	Arrested	Yes	Yes	Yes
84	Assault	low	18.05.2024 14:48	222 Oak Ave	Riverside	Central City	TX	75002	32.7790	-96.7950	32				22	Female	White	Stranger	None	Park	No	Open	Yes	No	No
85	Aggravated Assault	high	30.05.2024 20:37	223 Pine Rd	Uptown	Central City	TX	75003	32.7815	-96.7930	33	28	Female	White	35	Male	White	Stranger	Blunt Object	Street	Yes	Closed	No	No	Yes
86	Homicide	medium	11.06.2024 9:56	224 Cedar Blvd	East End	Central City	TX	75004	32.7840	-96.7900	34	31	Male	Black	29	Male	Hispanic	Acquaintance	None	Home	Yes	Open	Yes	No	No
87	Manslaughter	low	24.06.2024 23:41	225 Birch Ln	West Side	Central City	TX	75005	32.7865	-96.7880	35	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	Knife	Business	Yes	Arrested	No	Yes	No
88	Kidnapping	medium	06.07.2024 4:29	226 Spruce St	Downtown	Central City	TX	75006	32.7890	-96.7860	36				29	Male	Asian	Stranger	Gun	Street	No	Open	Yes	No	Yes
89	Arson	low	19.07.2024 17:08	227 Elm Ave	Harborview	Central City	TX	75007	32.7915	-96.7840	37				23	Male	Black	Acquaintance	None	Park	Yes	Closed	No	No	No
90	Vandalism	medium	02.08.2024 12:55	228 Willow Rd	Greenfield	Central City	TX	75008	32.7940	-96.7820	38				33	Female	Hispanic	Stranger	Blunt Object	Home	Yes	Arrested	Yes	No	No
91	Fraud	high	15.08.2024 21:33	229 Chestnut Blvd	Old Town	Central City	TX	75009	32.7965	-96.7800	39	45	Male	White	50	Male	White	Stranger	Knife	Street	Yes	Open	Yes	Yes	Yes
92	Embezzlement	low	27.08.2024 7:44	230 Aspen Ln	Midtown	Central City	TX	75010	32.7990	-96.7780	40	37	Female	Black	36	Male	Black	Acquaintance	None	Home	Yes	Closed	Yes	Yes	No
93	Drug Possession	high	10.09.2024 18:11	231 Maple St	Central	Keystone City	FL	33101	25.7617	-80.1918	41	29	Male	Hispanic	32	Male	Hispanic	Stranger	Gun	Business	Yes	Arrested	Yes	No	Yes
94	Drug Trafficking	medium	22.09.2024 23:50	232 Oak Ave	Riverside	Keystone City	FL	33102	25.7640	-80.1890	42				32	Male	Hispanic	Stranger	None	Park	No	Open	No	No	No
95	Domestic Violence	low	04.10.2024 5:18	233 Pine Rd	Uptown	Keystone City	FL	33103	25.7665	-80.1860	43	25	Female	White	27	Male	White	Stranger	Knife	Street	Yes	Closed	Yes	No	No
96	Sexual Assault	medium	16.10.2024 13:39	234 Cedar Blvd	East End	Keystone City	FL	33104	25.7690	-80.1830	44	34	Male	Black	31	Male	Black	Acquaintance	Gun	Home	Yes	Open	No	Yes	Yes
97	Rape	low	29.10.2024 19:28	235 Birch Ln	West Side	Keystone City	FL	33105	25.7715	-80.1800	45	19	Female	Hispanic	22	Male	Hispanic	Stranger	None	Business	Yes	Arrested	Yes	No	No
98	Human Trafficking	medium	10.11.2024 8:14	236 Spruce St	Downtown	Keystone City	FL	33106	25.7740	-80.1770	46				25	Male	Asian	Domestic Partner	Blunt Object	Street	No	Open	No	No	No
99	Stalking	high	23.11.2024 22:45	237 Elm Ave	Harborview	Keystone City	FL	33107	25.7765	-80.1740	47	28	Female	White	35	Male	Black	Stranger	Knife	Park	Yes	Closed	Yes	No	Yes
100	Cybercrime	low	05.12.2024 3:33	238 Willow Rd	Greenfield	Keystone City	FL	33108	25.7790	-80.1710	48	31	Male	Black	29	Male	Hispanic	Acquaintance	None	Home	Yes	Arrested	Yes	Yes	No
101	Identity Theft	high	18.12.2024 15:22	239 Chestnut Blvd	Old Town	Keystone City	FL	33109	25.7815	-80.1680	49	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	Gun	Street	Yes	Open	Yes	Yes	Yes
102	Bribery	medium	30.12.2024 20:59	240 Aspen Ln	Midtown	Keystone City	FL	33110	25.7840	-80.1650	50	45	Male	White	50	Male	White	Stranger	None	Home	Yes	Closed	Yes	No	No
103	Extortion	low	01.01.2024 8:52	239 Chestnut Blvd	Old Town	Keystone City	FL	33109	25.7815	-80.1680	49	37	Female	Black	36	Male	Black	Acquaintance	Blunt Object	Business	Yes	Arrested	No	No	No
104	Public Intoxication	medium	29.04.2024 4:49	301 Maple St	Central	Liberty City	IL	60001	41.8781	-87.6298	51	29	Male	Hispanic	32	Male	Hispanic	Stranger	None	Park	No	Open	Yes	No	Yes
105	Disorderly Conduct	low	01.01.2024 5:51	302 Oak Ave	Riverside	Liberty City	IL	60002	41.8800	-87.6270	52				24	Male	Black	Stranger	Knife	Street	Yes	Closed	No	Yes	No
106	Trespassing	medium	17.11.2024 8:10	303 Pine Rd	Uptown	Liberty City	IL	60003	41.8825	-87.6240	53				35	Male	Asian	Acquaintance	Knife	Home	Yes	Open	Yes	No	No
107	Weapons Violation	high	21.01.2024 10:04	304 Cedar Blvd	East End	Liberty City	IL	60004	41.8850	-87.6220	54	26	Female	Black	28	Female	Black	Domestic Partner	None	Business	Yes	Arrested	No	No	Yes
108	Hate Crime	low	15.05.2024 19:37	305 Birch Ln	West Side	Liberty City	IL	60005	41.8875	-87.6200	55	39	Male	White	42	Male	White	Stranger	Gun	Street	No	Open	Yes	No	No
109	Gang-Related Crime	high	27.01.2024 0:41	306 Spruce St	Downtown	Liberty City	IL	60006	41.8900	-87.6180	56	30	Female	Hispanic	31	Male	Hispanic	Stranger	None	Park	Yes	Closed	Yes	Yes	Yes
110	Traffic Violations	medium	01.05.2024 18:08	307 Elm Ave	Harborview	Liberty City	IL	60007	41.8925	-87.6160	57				27	Male	Black	Acquaintance	Blunt Object	Home	Yes	Arrested	Yes	Yes	No
111	DUI / DWI	low	26.04.2024 4:37	308 Willow Rd	Greenfield	Liberty City	IL	60008	41.8950	-87.6140	58	27	Female	Asian	29	Male	Asian	Domestic Partner	None	Street	Yes	Open	Yes	No	No
112	Animal Cruelty	medium	24.02.2024 6:46	309 Chestnut Blvd	Old Town	Liberty City	IL	60009	41.8975	-87.6120	59	36	Male	White	40	Male	Black	Stranger	Knife	Home	Yes	Closed	No	No	Yes
113	Illegal Gambling	low	19.03.2024 8:55	310 Aspen Ln	Midtown	Liberty City	IL	60010	41.9000	-87.6100	60	23	Female	Hispanic	25	Female	Hispanic	Stranger	Gun	Business	Yes	Arrested	Yes	No	No
114	Counterfeiting	medium	01.01.2024 8:52	311 Maple St	Central	Emerald City	WA	98101	47.6062	-122.3321	61				44	Male	Black	Acquaintance	None	Park	No	Open	No	Yes	No
115	Smuggling	high	29.04.2024 4:49	312 Oak Ave	Riverside	Emerald City	WA	98102	47.6080	-122.3300	62				30	Male	White	Stranger	Blunt Object	Street	Yes	Closed	Yes	No	Yes
116	Prostitution	low	01.01.2024 5:51	313 Pine Rd	Uptown	Emerald City	WA	98103	47.6105	-122.3280	63	32	Male	Asian	35	Male	Asian	Acquaintance	Knife	Home	Yes	Open	No	No	No
117	Blackmail	high	17.11.2024 8:10	314 Cedar Blvd	East End	Emerald City	WA	98104	47.6130	-122.3260	64	25	Female	Black	27	Male	Black	Domestic Partner	None	Business	Yes	Arrested	Yes	No	Yes
118	Kidnapping for Ransom	medium	21.01.2024 10:04	315 Birch Ln	West Side	Emerald City	WA	98105	47.6155	-122.3240	65	38	Male	White	41	Male	White	Stranger	Gun	Street	No	Open	Yes	Yes	No
119	Cyberbullying	low	15.05.2024 19:37	316 Spruce St	Downtown	Emerald City	WA	98106	47.6180	-122.3220	66				31	Male	Hispanic	Stranger	None	Park	Yes	Closed	Yes	Yes	No
120	Child Abuse	medium	27.01.2024 0:41	317 Elm Ave	Harborview	Emerald City	WA	98107	47.6205	-122.3200	67	22	Male	Black	24	Male	Black	Acquaintance	Blunt Object	Home	Yes	Arrested	Yes	No	Yes
121	Theft	low	01.05.2024 18:08	318 Willow Rd	Greenfield	Emerald City	WA	98108	47.6230	-122.3180	68	27	Female	White	30	Male	White	Domestic Partner	None	Street	Yes	Open	No	No	No
122	Burglary	medium	01.01.2024 8:52	319 Chestnut Blvd	Old Town	Emerald City	WA	98109	47.6255	-122.3160	69	35	Male	Asian	38	Male	Asian	Stranger	Knife	Home	Yes	Closed	Yes	No	No
123	Robbery	high	29.04.2024 4:49	320 Aspen Ln	Midtown	Emerald City	WA	98110	47.6280	-122.3140	70				33	Male	Black	Stranger	Gun	Business	Yes	Arrested	No	Yes	Yes
124	Assault	low	01.01.2024 5:51	321 Maple St	Central	River City	OH	43001	39.9612	-82.9988	71				28	Male	White	Acquaintance	None	Park	No	Open	Yes	No	No
125	Aggravated Assault	high	17.11.2024 8:10	322 Oak Ave	Riverside	River City	OH	43002	39.9630	-82.9960	72	23	Female	Hispanic	25	Female	Hispanic	Domestic Partner	Blunt Object	Street	Yes	Closed	No	No	Yes
126	Homicide	medium	21.01.2024 10:04	323 Pine Rd	Uptown	River City	OH	43003	39.9655	-82.9940	73	40	Male	Black	42	Male	Black	Stranger	Knife	Home	Yes	Open	Yes	No	No
127	Manslaughter	low	15.05.2024 19:37	324 Cedar Blvd	East End	River City	OH	43004	39.9680	-82.9920	74	29	Female	White	31	Male	White	Stranger	None	Business	Yes	Arrested	Yes	Yes	No
128	Kidnapping	medium	27.01.2024 0:41	325 Birch Ln	West Side	River City	OH	43005	39.9705	-82.9900	75	34	Male	Asian	37	Male	Asian	Acquaintance	Gun	Street	No	Open	Yes	Yes	Yes
129	Arson	low	01.05.2024 18:08	326 Spruce St	Downtown	River City	OH	43006	39.9730	-82.9880	76	28	Female	Black	30	Male	Black	Domestic Partner	None	Park	Yes	Closed	Yes	No	No
130	Vandalism	medium	26.04.2024 4:37	327 Elm Ave	Harborview	River City	OH	43007	39.9755	-82.9860	77				25	Male	White	Stranger	Knife	Home	Yes	Arrested	No	No	No
131	Fraud	high	24.02.2024 6:46	328 Willow Rd	Greenfield	River City	OH	43008	39.9780	-82.9840	78				40	Male	Hispanic	Stranger	Gun	Street	Yes	Open	Yes	No	Yes
