JobRoleID,JobTitle,JobLevel,DepartmentID,SalaryBand_Min,SalaryBand_Max,BonusPercentage,ExperienceRequired
1265,IR Manager,Management,1116,120000,180000,26.0,8+
1266,Communications Director,Senior Management,1117,180000,270000,32.0,12+
1267,Public Relations Manager,Management,1117,110000,165000,24.0,7+
1268,Procurement Director,Senior Management,1125,190000,290000,34.0,12+
1269,Sourcing Specialist,Professional,1125,70000,105000,17.0,4+
1270,Inventory Manager,Management,1126,100000,150000,23.0,7+
1271,Environmental Manager,Management,1127,110000,170000,25.0,8+
1272,Sustainability Analyst,Professional,1127,65000,95000,16.0,4+
1273,APAC Operations Director,Senior Management,1128,220000,340000,39.0,12+
1274,EMEA Operations Director,Senior Management,1129,230000,350000,40.0,12+
1275,Americas Operations Director,Senior Management,1130,240000,360000,41.0,12+
1276,Regional Sales Manager APAC,Senior Management,1128,200000,310000,36.0,12+
1277,Regional Sales Manager EMEA,Senior Management,1129,210000,320000,37.0,12+
1278,Regional Sales Manager Americas,Senior Management,1130,220000,330000,38.0,12+
1279,Quality Assurance Director,Senior Management,1111,180000,270000,32.0,12+
1280,QA Analyst,Professional,1111,70000,105000,17.0,4+
1281,Manufacturing Engineer,Professional,1110,80000,120000,20.0,5+
1282,Supply Chain Analyst,Professional,1102,65000,95000,16.0,3+
1283,Demand Planner,Professional,1102,70000,100000,17.0,4+
1284,Transportation Manager,Management,1109,110000,170000,25.0,8+
1285,Warehouse Supervisor,Management,1109,75000,115000,19.0,6+
1286,Category Manager,Management,1101,130000,200000,28.0,8+
1287,Trade Marketing Manager,Management,1108,115000,175000,26.0,8+
1288,Digital Product Manager,Management,1118,120000,180000,27.0,8+
1289,UX/UI Designer,Professional,1118,85000,130000,21.0,5+
1290,DevOps Engineer,Professional,1106,100000,150000,24.0,6+
1291,Database Administrator,Professional,1106,95000,145000,23.0,6+
1292,Technical Support Specialist,Professional,1106,55000,85000,14.0,3+
1293,Payroll Specialist,Professional,1123,60000,90000,15.0,3+
1294,Benefits Administrator,Professional,1123,58000,88000,14.0,3+
1295,Training Coordinator,Professional,1122,55000,85000,13.0,3+
1296,Organizational Development Specialist,Professional,1122,75000,115000,19.0,5+
1297,Talent Management Specialist,Professional,1121,80000,120000,20.0,5+
1298,Employee Engagement Specialist,Professional,1124,65000,95000,16.0,4+
1299,Corporate Recruiter,Professional,1121,70000,105000,17.0,4+
1300,Executive Assistant,Support,1104,55000,85000,12.0,3+
