ChannelID|ChannelName|ChannelType|ChannelSegment|CommissionRate|MinimumOrder|DeliveryDays|TargetMargin
4048|Deli Counters|Food Service|Grocery Deli|6,50|200,00|1|48,00
4049|Salad Bars|Food Service|Healthy Dining|7,00|150,00|1|50,00
4050|Smoothie Bars|Food Service|Health Food|8,00|100,00|1|55,00
4051|Food Trucks|Restaurant|Mobile Food|9,00|100,00|1|62,00
4052|Street Vendors|Retail|Street Retail|10,00|50,00|7|65,00
4053|Farmers Markets|Retail|Local Retail|8,00|100,00|7|55,00
4054|Food Courts|Food Service|Mall Dining|7,50|300,00|1|52,00
4055|Mall Kiosks|Retail|Shopping Mall|8,50|200,00|1|58,00
4056|Pop-up Stores|Retail|Temporary Retail|9,00|100,00|1|62,00
4057|Seasonal Markets|Retail|Temporary Retail|8,00|150,00|7|55,00
4058|Festival Concessions|Retail|Event Retail|10,00|200,00|1|65,00
4059|Convention Center Catering|Food Service|Event Catering|8,50|500,00|1|58,00
4060|Wedding Caterers|Food Service|Event Catering|8,00|300,00|1|55,00
4061|Catering Companies|Food Service|B2B Catering|7,50|400,00|1|52,00
4062|Corporate Catering|Food Service|Corporate Events|7,00|500,00|1|50,00
4063|Event Planners|Food Service|Special Events|8,50|300,00|1|58,00
4064|Banquet Halls|Food Service|Event Venue|8,00|400,00|1|55,00
4065|Conference Centers|Food Service|Corporate Events|7,50|300,00|1|52,00
4066|Cinema Chains|Retail|Entertainment|9,00|400,00|1|62,00
4067|Bowling Alleys|Retail|Entertainment|8,00|200,00|1|55,00
4068|Arcades|Retail|Entertainment|8,50|150,00|1|58,00
4069|Nightclubs|Restaurant|Entertainment|9,00|200,00|1|62,00
4070|Bars & Pubs|Restaurant|Entertainment|8,50|300,00|1|58,00
4071|Hotels (Mini-Bars)|Retail|Hospitality|12,00|100,00|7|70,00
4072|Hotels (Room Service)|Food Service|Hospitality|10,00|200,00|1|65,00
4073|Resorts (All-Inclusive)|Food Service|Hospitality|9,00|500,00|1|62,00
4074|Cruise Ships (Bars)|Restaurant|Travel|10,00|400,00|14|65,00
4075|Cruise Ships (Dining)|Food Service|Travel|9,50|600,00|14|60,00
4076|Airline Catering|Food Service|Travel|8,00|1000,00|1|55,00
4077|Railway Catering|Food Service|Travel|7,50|500,00|1|52,00
4078|Bus Company Catering|Food Service|Travel|7,00|300,00|1|50,00
4079|Corporate Office Coffee|Food Service|Corporate|8,50|200,00|1|58,00
4080|Office Pantries|Food Service|Corporate|7,50|150,00|1|52,00
4081|Coworking Spaces|Food Service|Corporate|8,00|100,00|1|55,00
4082|Gym & Fitness Centers|Retail|Wellness|7,50|150,00|1|52,00
4083|Yoga Studios|Retail|Wellness|7,00|100,00|1|50,00
4084|Spa Retreats|Retail|Wellness|8,00|150,00|1|55,00
4085|Golf Clubhouses|Retail|Sports|7,50|200,00|1|52,00
4086|Tennis Clubs|Retail|Sports|7,00|150,00|1|50,00
4087|Swim Clubs|Retail|Sports|7,00|100,00|1|50,00
4088|Country Clubs|Retail|Premium|8,00|300,00|1|55,00
4089|Private Clubs|Retail|Exclusive|7,50|200,00|1|52,00
4090|Members-Only Stores|Retail|Premium|6,50|500,00|2|48,00
4091|Luxury Retail|Retail|Premium|6,00|1000,00|3|45,00
4092|Duty-Free Stores|Retail|Travel Retail|5,00|2000,00|4|40,00
4093|Export/Import|Wholesale|International|4,50|5000,00|14|38,00
4094|Food Distributors|Wholesale|B2B Distribution|4,00|3000,00|3|35,00
4095|Beverage Distributors|Wholesale|B2B Distribution|3,50|4000,00|3|32,00
4096|Institutional Distributors|Wholesale|B2B|4,00|2000,00|3|35,00
4097|Cash & Carry Wholesale|Wholesale|Self-Service|3,50|1000,00|2|32,00
4098|Restaurant Supply|Wholesale|B2B|4,50|1500,00|3|38,00
4099|Hotel Supply|Wholesale|B2B|4,00|2000,00|3|35,00
4100|Government Supply|Wholesale|B2G|3,00|5000,00|5|28,00
